Cluster ID,Resource ID,Resource Name,Account Name,Account Identifier,ClusterRole,FailoverOrder,Last Seen,Engine,Instance Type - Current,Instance Family - Current,Storage Type - Current,Idle,Hours Running,CPU Max,Memory Max,IOPS Max,Storage Throughput Max,Connections Max,Currency Code,Effective Rate - Current,Cost,Recommendation,Instance Recommendation,Instance Type - Recommended,Instance Family - Recommended,Storage Recommendation,Storage Type - Recommended,VCPU - Current,VCPU - Recommended,Memory - Current,Memory - Recommended,IOPS - Current,IOPS - Recommended,Storage - Current,Storage - Recommended,Storage Throughput - Current,Storage Throughput - Recommended,Previous Generation - Recommended,Equivalent Family - Recommended,Equivalent Memory - Recommended,Risk,Effective Rate - Recommended,Savings,Savings Percent,ACC-FDC-DIV,ACC-FDC-ENV,ACC-FDC-ENV2,ACC-FDC-MONTHLY-BUDGET,ACC-FDC-UAID,ACC-FDC-UAID2,ACC-FDC-nodepartment-thisiszone,ACC:FDC:DEPARTMENT,ADS-AWS-TEST-environments,ADS-K8S-TEST-F2NI2LE,APMID,APP-APM-LABEL,AppName,Application UID,Azure Resource Group,Business Unit,DIVISION,FNX Environment ID,Name,Purpose,UAID,argocd-instances,Export Order
wgiftcard-aurora-merchant-eu-cluster,arn:aws:rds:eu-west-1:958612202038:db:wgiftcard-aurora-merchant-eu,wgiftcard-aurora-merchant-eu,FDAWS Gift Solutions - Prod,958612202038,Writer,1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,0,694.00,58,87,1115,11,5,USD,0.03,24.12,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,138
wgiftcard-aurora-merchant-eu-cluster,arn:aws:rds:eu-west-1:958612202038:db:wgiftcard-aurora-merchant-eu-eu-west-1c,wgiftcard-aurora-merchant-eu-eu-west-1c,FDAWS Gift Solutions - Prod,958612202038,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,100,694.00,62,78,2,0,5,USD,0.03,24.12,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,139
wgiftcard-storefront-eu,arn:aws:rds:eu-west-1:958612202038:db:wgiftcard-storefront-eu,wgiftcard-storefront-eu,FDAWS Gift Solutions - Prod,958612202038,Reader (Failover),0,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,100,694.00,16,80,2,0,26,USD,0.03,24.12,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,140
wgiftcard-storefront-eu,arn:aws:rds:eu-west-1:958612202038:db:wgiftcard-storefront-eu-eu-west-1a,wgiftcard-storefront-eu-eu-west-1a,FDAWS Gift Solutions - Prod,958612202038,Writer,0,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,0,694.00,67,89,1405,47,26,USD,0.03,24.12,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,141
passport-qa-1-db-db-n984ikt926ql,arn:aws:rds:us-east-1:223031453984:db:pd1p9azwu7ll1y,pd1p9azwu7ll1y,fdaws-spree-nimbus-prod,223031453984,Writer,1,2025-06-03T21:00:00Z,Aurora MySQL,db.t2.small,t2,aurora,0,694.00,91,83,759,116,2,USD,0.03,22.48,No Action,No Action,db.t2.small,t2,,,0.20000,0.20000,2.00000,2.00000,0,N/A,0,N/A,N/A,N/A,true,true,true,0.00,0.03,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,142
passport-qa-1-db-db-n984ikt926ql,arn:aws:rds:us-east-1:223031453984:db:pd82zxa7l5zbp1,pd82zxa7l5zbp1,fdaws-spree-nimbus-prod,223031453984,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.t2.small,t2,aurora,100,694.00,87,78,2,0,2,USD,0.03,22.48,No Action,No Action,db.t2.small,t2,,,0.20000,0.20000,2.00000,2.00000,0,N/A,0,N/A,N/A,N/A,true,true,true,0.00,0.03,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,143
aurora-svsus-storefront-cluster,arn:aws:rds:us-east-1:243575567843:db:aurora-svsus-storefront,aurora-svsus-storefront,TW SVS,243575567843,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,100,694.00,60,79,2,0,9,USD,0.03,22.48,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,23400,uaid-05824,uaid-05824,,nss,,,,,,,,,nss,,,,,,144
aurora-svsus-storefront-cluster,arn:aws:rds:us-east-1:243575567843:db:aurora-svsus-storefront-us-east-1c,aurora-svsus-storefront-us-east-1c,TW SVS,243575567843,Writer,1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,0,694.00,64,94,109701,14379,9,USD,0.03,22.48,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,23400,uaid-05824,uaid-05824,,nss,,,,,,,,,nss,,,,,,145
N/A,arn:aws:rds:us-east-1:445111228619:db:sroqainst,sroqainst,fdaws-smartrouting-nonprod,445111228619,Instance,,2025-06-03T21:00:00Z,Oracle,db.m5.xlarge,m5,gp3,0,694.00,100,99,804423,419481,694,USD,0.54,1593.99,No Action,No Action,db.m5.xlarge,m5,No Action,gp3,4.00000,4.00000,16.00000,16.00000,12000,12000,7168,7168,2120,2120,false,true,true,0.00,0.54,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,146
gsg-production-cluster,arn:aws:rds:us-east-1:958612202038:db:gsg-production,gsg-production,FDAWS Gift Solutions - Prod,958612202038,Writer,1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,0,694.00,60,89,747,117,3,USD,0.03,22.48,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,147
gsg-production-cluster,arn:aws:rds:us-east-1:958612202038:db:gsg-production-us-east-1d,gsg-production-us-east-1d,FDAWS Gift Solutions - Prod,958612202038,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,100,694.00,56,79,2,0,3,USD,0.03,22.48,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,148
wgiftcard-conversion-production,arn:aws:rds:us-east-1:958612202038:db:wgiftcard-conversion-production-us-east-1b,wgiftcard-conversion-production-us-east-1b,FDAWS Gift Solutions - Prod,958612202038,Writer,0,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,0,694.00,67,88,1198,46,1,USD,0.03,22.48,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,149
wgiftcard-conversion-production,arn:aws:rds:us-east-1:958612202038:db:wgiftcard-conversion-production-us-east-1d,wgiftcard-conversion-production-us-east-1d,FDAWS Gift Solutions - Prod,958612202038,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.small,t3,aurora,100,694.00,61,79,2,0,1,USD,0.03,22.48,No Action,No Action,db.t3.small,t3,,,0.40000,0.40000,2.00000,2.00000,0,N/A,0,N/A,2085,2085,false,true,true,0.00,0.03,0.00,0.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,150
